"term","ontology","ID","Description","total_sig","up_count","down_count","sig_count","consensus"
"BP: spindle assembly checkpoint signaling","BP","GO:0071173","spindle assembly checkpoint signaling",11,5,6,11,"mixed"
"BP: striated muscle cell development","BP","GO:0055002","striated muscle cell development",11,7,4,11,"mixed"
"BP: transforming growth factor beta receptor superfamily signaling pathway","BP","GO:0141091","transforming growth factor beta receptor superfamily signaling pathway",11,5,6,11,"mixed"
"BP: vascular process in circulatory system","BP","GO:0003018","vascular process in circulatory system",11,7,4,11,"mixed"
"CC: COPII-coated ER to Golgi transport vesicle","CC","GO:0030134","COPII-coated ER to Golgi transport vesicle",11,4,7,11,"mixed"
"CC: Z disc","CC","GO:0030018","Z disc",11,8,3,11,"mixed"
"CC: actin-based cell projection","CC","GO:0098858","actin-based cell projection",11,7,4,11,"mixed"
"CC: apical junction complex","CC","GO:0043296","apical junction complex",11,7,4,11,"mixed"
"CC: apical plasma membrane","CC","GO:0016324","apical plasma membrane",11,6,5,11,"mixed"
"CC: basement membrane","CC","GO:0005604","basement membrane",11,7,4,11,"mixed"
"CC: clathrin-coated endocytic vesicle","CC","GO:0045334","clathrin-coated endocytic vesicle",11,5,6,11,"mixed"
"CC: cluster of actin-based cell projections","CC","GO:0098862","cluster of actin-based cell projections",11,7,4,11,"mixed"
"CC: distal axon","CC","GO:0150034","distal axon",11,8,3,11,"mixed"
"CC: early endosome","CC","GO:0005769","early endosome",11,5,6,11,"mixed"
"CC: endocytic vesicle","CC","GO:0030139","endocytic vesicle",11,6,5,11,"mixed"
"CC: lamellipodium","CC","GO:0030027","lamellipodium",11,7,4,11,"mixed"
"CC: lysosomal membrane","CC","GO:0005765","lysosomal membrane",11,5,6,11,"mixed"
"CC: lytic vacuole membrane","CC","GO:0098852","lytic vacuole membrane",11,5,6,11,"mixed"
"CC: microtubule","CC","GO:0005874","microtubule",11,7,4,11,"mixed"
"CC: mitochondrial inner membrane","CC","GO:0005743","mitochondrial inner membrane",11,6,5,11,"mixed"
"CC: mitotic spindle","CC","GO:0072686","mitotic spindle",11,5,6,11,"mixed"
"CC: nuclear envelope","CC","GO:0005635","nuclear envelope",11,3,8,11,"mixed"
"CC: nucleosome","CC","GO:0000786","nucleosome",11,7,4,11,"mixed"
"CC: secretory granule membrane","CC","GO:0030667","secretory granule membrane",11,6,5,11,"mixed"
"CC: spindle","CC","GO:0005819","spindle",11,5,6,11,"mixed"
"CC: transcription regulator complex","CC","GO:0005667","transcription regulator complex",11,2,9,11,"mixed"
"CC: vacuolar lumen","CC","GO:0005775","vacuolar lumen",11,7,4,11,"mixed"
"CC: vacuolar membrane","CC","GO:0005774","vacuolar membrane",11,5,6,11,"mixed"
"CC: vesicle lumen","CC","GO:0031983","vesicle lumen",11,7,4,11,"mixed"
"MF: actin filament binding","MF","GO:0051015","actin filament binding",11,8,3,11,"mixed"
"MF: cytokine receptor binding","MF","GO:0005126","cytokine receptor binding",11,6,5,11,"mixed"
"MF: extracellular matrix binding","MF","GO:0050840","extracellular matrix binding",11,8,3,11,"mixed"
"MF: growth factor binding","MF","GO:0019838","growth factor binding",11,6,5,11,"mixed"
"MF: monoatomic ion channel activity","MF","GO:0005216","monoatomic ion channel activity",11,8,3,11,"mixed"
"MF: signaling receptor regulator activity","MF","GO:0030545","signaling receptor regulator activity",11,7,4,11,"mixed"
"MF: structural constituent of chromatin","MF","GO:0030527","structural constituent of chromatin",11,7,4,11,"mixed"
"MF: sulfur compound binding","MF","GO:1901681","sulfur compound binding",11,7,4,11,"mixed"
"BP: ATP synthesis coupled electron transport","BP","GO:0042773","ATP synthesis coupled electron transport",10,5,5,10,"mixed"
"BP: DNA damage checkpoint signaling","BP","GO:0000077","DNA damage checkpoint signaling",10,3,7,10,"mixed"
"BP: DNA-templated DNA replication","BP","GO:0006261","DNA-templated DNA replication",10,4,6,10,"mixed"
