"term","Indelicato_0.05_all_genes.rds","Lai_CNS_0.05_all_genes.rds","Lai_iPSC_0.05_all_genes.rds","Lai_PNS_0.05_all_genes.rds","Lees_FA1_0.05_all_genes.rds","Lees_FA2_0.05_all_genes.rds","Lees_FA3_0.05_all_genes.rds","Maddock_NCC_FA1_0.05_all_genes.rds","Maddock_NCC_FA2_0.05_all_genes.rds","Maddock_SN_FA1_0.05_all_genes.rds","Maddock_SN_FA2_0.05_all_genes.rds","Mishra_223_0.05_all_genes.rds","Mishra_850_0.05_all_genes.rds","Mishra_FF1_0.05_all_genes.rds","Mishra_FF2_0.05_all_genes.rds","Napierala_0.05_all_genes.rds","Vilema_0.05_all_genes.rds","Maddock_LMN_FA2_batchcorrection_0.05_all_genes.rds","Wang_0.05_all_genes.rds","Erwin_batchcorrection_0.05_all_genes.rds","Li_FRDA_CTRL_0.05_all_genes.rds","Li_FRDA_IC_0.05_all_genes.rds","Chutake_0.05_all_genes.rds","up_count","down_count","sig_count","consensus"
"BP: regulation of chromosome separation",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,-1,5,9,14,"mixed"
"BP: regulation of mitotic sister chromatid separation",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,-1,5,9,14,"mixed"
"BP: spindle assembly",0,-1,-1,0,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,-1,5,9,14,"mixed"
"CC: outer kinetochore",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,-1,5,9,14,"mixed"
"CC: transcription regulator complex",0,-1,-1,-1,0,-1,-1,0,-1,0,0,-1,1,-1,-1,0,1,1,0,0,1,1,0,5,9,14,"mixed"
"BP: Wnt signaling pathway",0,-1,0,-1,-1,-1,0,0,-1,0,1,1,1,-1,-1,1,-1,0,0,0,-1,-1,0,4,10,14,"mixed"
"MF: actin filament binding",1,1,0,-1,0,0,1,0,0,1,1,1,1,0,-1,0,-1,1,1,0,1,0,0,10,3,13,"mixed"
"MF: cadherin binding",1,0,0,-1,0,0,1,0,0,1,0,1,1,0,-1,1,-1,0,1,1,1,1,0,10,3,13,"mixed"
"BP: cell adhesion mediated by integrin",0,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,1,1,0,0,1,0,9,4,13,"mixed"
"BP: cell-matrix adhesion",1,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,1,0,0,0,0,1,9,4,13,"mixed"
"BP: phosphatidylinositol 3-kinase/protein kinase B signal transduction",0,1,1,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,0,0,0,1,0,1,9,4,13,"mixed"
"BP: wound healing",0,1,0,-1,0,0,1,0,1,1,1,1,1,-1,-1,0,-1,1,0,0,0,1,0,9,4,13,"mixed"
"CC: actin-based cell projection",1,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,1,1,0,0,0,0,9,4,13,"mixed"
"CC: distal axon",1,1,0,1,0,0,1,0,-1,-1,0,0,-1,1,1,1,0,-1,1,0,0,0,1,9,4,13,"mixed"
"CC: lamellipodium",1,1,0,-1,0,0,1,1,0,1,0,1,1,-1,-1,0,-1,0,1,0,1,0,0,9,4,13,"mixed"
"BP: axon guidance",0,0,1,1,0,0,1,1,0,-1,1,1,0,1,-1,0,-1,0,1,0,-1,-1,0,8,5,13,"mixed"
"BP: axonogenesis",1,0,0,1,0,0,1,1,0,-1,1,0,0,1,-1,0,-1,-1,1,0,-1,0,1,8,5,13,"mixed"
"BP: cellular response to peptide hormone stimulus",0,1,0,-1,0,0,1,0,-1,1,1,1,1,-1,-1,1,-1,0,1,0,0,0,0,8,5,13,"mixed"
"BP: endosomal transport",0,1,-1,1,0,0,1,0,0,1,-1,-1,0,0,0,1,-1,-1,0,0,1,1,1,8,5,13,"mixed"
"BP: leukocyte chemotaxis",0,1,1,-1,0,-1,1,0,0,1,1,1,0,-1,-1,0,-1,1,0,0,0,0,1,8,5,13,"mixed"
"BP: neuron projection guidance",0,0,1,1,0,0,1,1,0,-1,1,1,0,1,-1,0,-1,0,1,0,-1,-1,0,8,5,13,"mixed"
"BP: positive regulation of MAPK cascade",0,1,1,-1,0,0,1,0,-1,1,1,1,1,-1,-1,0,-1,1,0,0,0,0,0,8,5,13,"mixed"
"BP: positive regulation of angiogenesis",0,1,1,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,1,-1,0,0,0,0,8,5,13,"mixed"
"BP: positive regulation of cell projection organization",0,1,0,1,0,1,1,0,-1,0,0,-1,0,1,-1,1,-1,-1,1,0,0,0,1,8,5,13,"mixed"
"BP: positive regulation of phosphate metabolic process",0,1,0,-1,0,0,1,0,-1,1,1,1,1,-1,-1,1,-1,1,0,0,0,0,0,8,5,13,"mixed"
"BP: positive regulation of phosphorus metabolic process",0,1,0,-1,0,0,1,0,-1,1,1,1,1,-1,-1,1,-1,1,0,0,0,0,0,8,5,13,"mixed"
"BP: positive regulation of protein phosphorylation",0,1,0,-1,0,-1,1,0,0,1,1,1,1,-1,-1,1,-1,1,0,0,0,0,0,8,5,13,"mixed"
"BP: regulation of immune effector process",0,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,-1,0,1,0,-1,0,0,1,8,5,13,"mixed"
"BP: regulation of monoatomic ion transport",0,1,1,-1,0,-1,1,0,1,1,1,1,0,0,-1,0,-1,1,0,0,-1,0,0,8,5,13,"mixed"
"BP: regulation of nervous system development",0,0,0,1,0,-1,1,0,0,-1,1,1,1,1,-1,0,-1,1,1,0,-1,0,0,8,5,13,"mixed"
"BP: striated muscle cell development",0,1,1,-1,0,0,0,0,1,1,1,0,1,-1,-1,0,-1,1,1,0,0,-1,0,8,5,13,"mixed"
"CC: basal plasma membrane",0,1,0,-1,0,0,1,0,1,1,1,1,0,-1,-1,0,-1,1,1,0,0,-1,0,8,5,13,"mixed"
"CC: postsynaptic membrane",0,0,1,1,0,0,1,1,0,-1,1,-1,-1,1,1,0,0,-1,1,0,-1,0,0,8,5,13,"mixed"
"MF: cytokine receptor binding",0,1,0,-1,0,-1,1,0,0,1,1,1,0,-1,-1,0,-1,1,0,0,0,1,1,8,5,13,"mixed"
"BP: adaptive immune response",0,0,0,-1,0,0,1,0,0,0,0,1,1,-1,-1,-1,0,1,-1,-1,1,1,1,7,6,13,"mixed"
"BP: adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0,0,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,-1,0,1,-1,-1,0,0,1,7,6,13,"mixed"
"BP: gland development",0,0,0,-1,0,-1,1,0,0,1,1,1,1,-1,-1,0,0,1,1,0,-1,-1,0,7,6,13,"mixed"
"BP: leukocyte proliferation",0,1,0,-1,0,-1,1,0,0,1,1,0,1,-1,-1,-1,0,1,0,-1,0,0,1,7,6,13,"mixed"
"BP: lymphocyte differentiation",0,-1,0,-1,0,0,0,0,-1,1,1,0,1,-1,-1,-1,0,1,0,0,1,1,1,7,6,13,"mixed"
"BP: negative regulation of cell migration",0,1,0,-1,-1,-1,1,0,-1,1,1,1,1,0,-1,1,-1,0,0,0,0,0,0,7,6,13,"mixed"
"BP: negative regulation of locomotion",0,1,0,-1,-1,0,1,0,-1,1,1,1,1,0,-1,1,-1,0,0,0,-1,0,0,7,6,13,"mixed"
"BP: positive regulation of phosphorylation",0,1,0,-1,0,-1,1,0,-1,1,1,0,1,-1,-1,1,-1,1,0,0,0,0,0,7,6,13,"mixed"
"BP: regulation of angiogenesis",0,1,0,-1,0,-1,1,0,0,1,1,1,1,-1,-1,0,-1,1,-1,0,0,0,0,7,6,13,"mixed"
"BP: regulation of apoptotic signaling pathway",0,0,-1,-1,0,-1,1,0,-1,1,0,1,1,-1,-1,1,0,0,0,0,1,1,0,7,6,13,"mixed"
"BP: regulation of cellular response to growth factor stimulus",0,1,0,-1,0,-1,1,0,-1,1,1,1,1,-1,-1,0,-1,0,1,0,0,0,0,7,6,13,"mixed"
"BP: regulation of leukocyte cell-cell adhesion",0,0,0,-1,0,-1,1,0,0,1,1,0,1,-1,-1,-1,0,1,0,-1,1,0,1,7,6,13,"mixed"
"BP: regulation of vasculature development",0,1,0,-1,0,-1,1,0,0,1,1,1,1,-1,-1,0,-1,1,-1,0,0,0,0,7,6,13,"mixed"
"CC: apical part of cell",0,1,0,-1,0,-1,1,0,0,1,1,1,0,-1,-1,1,-1,1,0,0,0,-1,0,7,6,13,"mixed"
"CC: endocytic vesicle membrane",0,1,-1,-1,0,0,1,1,1,1,1,1,0,-1,-1,0,-1,0,0,-1,0,0,0,7,6,13,"mixed"
"CC: vacuolar lumen",0,1,-1,-1,0,1,1,0,0,1,1,1,1,-1,-1,0,0,0,0,0,-1,-1,0,7,6,13,"mixed"
"CC: vesicle lumen",0,1,-1,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,0,1,-1,0,0,-1,0,7,6,13,"mixed"
"BP: RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",1,-1,-1,0,0,0,-1,0,-1,-1,-1,-1,1,0,0,0,1,0,0,1,1,1,0,6,7,13,"mixed"
"BP: aerobic respiration",-1,1,-1,0,0,-1,-1,0,0,0,-1,0,1,1,1,1,0,0,0,1,-1,-1,0,6,7,13,"mixed"
"BP: connective tissue development",0,0,0,-1,0,-1,1,0,-1,1,1,1,1,-1,-1,0,0,1,0,0,-1,-1,0,6,7,13,"mixed"
"BP: establishment of protein localization to organelle",0,0,-1,-1,0,0,0,1,-1,1,-1,-1,1,0,-1,1,-1,0,0,1,1,0,0,6,7,13,"mixed"
"BP: heart morphogenesis",0,0,0,-1,0,-1,0,0,0,1,1,1,1,-1,-1,0,-1,1,0,0,-1,-1,1,6,7,13,"mixed"
"BP: heart process",0,1,0,-1,-1,-1,0,0,1,1,1,1,0,0,-1,0,-1,1,0,0,-1,-1,0,6,7,13,"mixed"
"BP: mRNA splicing, via spliceosome",1,-1,-1,0,0,0,-1,0,-1,-1,-1,-1,1,0,0,0,1,0,0,1,1,1,0,6,7,13,"mixed"
"BP: mononuclear cell differentiation",0,-1,0,-1,0,-1,0,0,-1,0,0,1,1,-1,-1,-1,0,1,0,0,1,1,1,6,7,13,"mixed"
"BP: negative regulation of chromosome organization",0,-1,-1,0,1,-1,-1,0,0,0,1,0,1,1,-1,0,1,0,1,0,-1,-1,0,6,7,13,"mixed"
"BP: oxidative phosphorylation",-1,1,0,0,-1,-1,-1,0,0,0,-1,0,1,1,1,1,0,0,0,1,-1,-1,0,6,7,13,"mixed"
"BP: regulation of blood circulation",0,1,0,-1,-1,-1,0,0,1,1,1,1,0,0,-1,0,-1,1,0,0,-1,-1,0,6,7,13,"mixed"
"BP: regulation of inflammatory response",0,1,0,-1,0,-1,1,0,0,1,1,0,0,-1,-1,-1,0,1,-1,-1,0,0,1,6,7,13,"mixed"
"BP: regulation of translation",1,-1,0,0,-1,0,-1,0,-1,1,-1,-1,1,0,-1,0,0,0,0,1,1,1,0,6,7,13,"mixed"
"BP: response to endoplasmic reticulum stress",0,1,0,-1,0,0,1,1,0,1,-1,-1,-1,-1,-1,0,-1,0,0,0,1,1,0,6,7,13,"mixed"
"BP: response to transforming growth factor beta",0,1,-1,-1,0,-1,1,0,-1,1,1,0,1,-1,-1,0,-1,1,0,0,0,0,0,6,7,13,"mixed"
"CC: mitochondrial inner membrane",-1,1,-1,0,0,-1,0,0,-1,0,0,-1,1,0,1,1,1,0,0,1,0,-1,-1,6,7,13,"mixed"
"CC: presynaptic membrane",0,0,1,1,0,0,0,1,0,-1,0,-1,-1,1,1,0,-1,-1,1,0,-1,-1,0,6,7,13,"mixed"
"CC: spliceosomal complex",1,-1,-1,0,0,-1,-1,0,0,0,-1,-1,1,0,0,0,1,0,0,1,1,1,-1,6,7,13,"mixed"
"BP: cardiocyte differentiation",1,0,0,-1,-1,-1,0,0,0,1,1,0,1,-1,-1,0,-1,1,0,0,-1,-1,0,5,8,13,"mixed"
"BP: metaphase/anaphase transition of cell cycle",0,-1,-1,0,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,0,5,8,13,"mixed"
"BP: metaphase/anaphase transition of mitotic cell cycle",0,-1,-1,0,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,0,5,8,13,"mixed"
"BP: mitotic metaphase chromosome alignment",0,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,0,0,1,0,1,0,-1,-1,0,5,8,13,"mixed"
"BP: negative regulation of chromosome separation",0,-1,0,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,-1,5,8,13,"mixed"
"BP: negative regulation of metaphase/anaphase transition of cell cycle",0,-1,0,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,-1,5,8,13,"mixed"
"BP: negative regulation of mitotic cell cycle",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,0,5,8,13,"mixed"
"BP: negative regulation of mitotic nuclear division",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,0,5,8,13,"mixed"
"BP: negative regulation of nuclear division",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,0,5,8,13,"mixed"
"BP: pattern specification process",0,0,0,-1,-1,-1,0,0,0,-1,1,1,1,-1,-1,0,0,1,1,0,-1,-1,0,5,8,13,"mixed"
"BP: positive regulation of cell cycle phase transition",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,0,0,1,1,-1,-1,0,5,8,13,"mixed"
"BP: recombinational repair",0,-1,0,0,1,-1,-1,0,-1,-1,0,-1,1,0,-1,0,1,0,1,1,0,-1,0,5,8,13,"mixed"
"BP: regulation of DNA replication",0,-1,-1,-1,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,0,-1,0,5,8,13,"mixed"
"BP: regulation of mitotic metaphase/anaphase transition",0,-1,-1,0,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,0,5,8,13,"mixed"
"BP: regulation of mitotic nuclear division",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,0,5,8,13,"mixed"
"BP: regulation of mitotic sister chromatid segregation",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,0,5,8,13,"mixed"
"BP: regulation of sister chromatid segregation",0,-1,-1,0,1,-1,-1,0,0,0,1,-1,1,0,-1,0,1,0,1,0,-1,-1,0,5,8,13,"mixed"
"BP: respiratory electron transport chain",-1,1,-1,0,-1,-1,-1,0,0,0,-1,0,1,0,1,1,0,0,0,1,-1,-1,0,5,8,13,"mixed"
"BP: ribosomal small subunit biogenesis",0,-1,0,-1,-1,-1,0,0,-1,0,-1,-1,1,0,0,0,1,0,0,1,1,1,-1,5,8,13,"mixed"
"BP: spindle checkpoint signaling",0,-1,-1,-1,1,-1,-1,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,0,5,8,13,"mixed"
"CC: external encapsulating structure",0,1,1,-1,0,-1,1,0,0,0,0,1,1,-1,-1,0,-1,0,-1,0,-1,-1,0,5,8,13,"mixed"
"CC: extracellular matrix",0,1,1,-1,0,-1,1,0,0,0,0,1,1,-1,-1,0,-1,0,-1,0,-1,-1,0,5,8,13,"mixed"
"CC: preribosome",1,-1,0,-1,-1,0,0,0,-1,0,-1,-1,0,0,-1,0,1,0,0,1,1,1,-1,5,8,13,"mixed"
"BP: DNA integrity checkpoint signaling",1,-1,-1,-1,1,-1,-1,0,-1,0,0,-1,1,0,-1,0,0,0,1,0,0,-1,0,4,9,13,"mixed"
"BP: G2/M transition of mitotic cell cycle",0,-1,-1,-1,1,-1,-1,0,0,0,0,-1,1,0,-1,0,1,0,1,0,-1,-1,0,4,9,13,"mixed"
"BP: cell cycle G2/M phase transition",0,-1,-1,-1,1,-1,-1,0,0,0,0,-1,1,0,-1,0,1,0,1,0,-1,-1,0,4,9,13,"mixed"
"BP: centrosome cycle",0,-1,-1,-1,1,-1,-1,0,0,0,0,-1,1,0,-1,0,1,0,1,0,-1,-1,0,4,9,13,"mixed"
"CC: spindle pole",0,-1,-1,-1,1,-1,-1,0,0,0,0,-1,1,0,-1,0,1,0,1,0,-1,-1,0,4,9,13,"mixed"
"BP: positive regulation of cellular component biogenesis",0,1,0,1,0,1,1,0,-1,0,0,0,1,1,-1,0,-1,1,1,0,0,0,1,9,3,12,"mixed"
"BP: response to molecule of bacterial origin",0,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,0,1,0,0,1,0,1,9,3,12,"mixed"
"CC: cell projection membrane",1,1,0,0,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,0,1,0,0,0,1,9,3,12,"mixed"
"CC: ruffle",1,1,0,-1,0,-1,1,0,0,1,1,1,1,0,-1,0,0,0,1,0,1,0,0,9,3,12,"mixed"
"BP: actin filament bundle organization",0,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,0,1,0,0,0,1,8,4,12,"mixed"
"BP: ameboidal-type cell migration",0,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,0,1,0,0,0,1,8,4,12,"mixed"
"BP: blood coagulation",0,1,0,-1,0,-1,1,0,1,1,1,1,1,0,-1,0,-1,1,0,0,0,0,0,8,4,12,"mixed"
"BP: cell-substrate adhesion",0,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,0,1,0,0,0,1,8,4,12,"mixed"
"BP: cell-substrate junction assembly",1,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,0,0,0,0,0,1,8,4,12,"mixed"
"BP: cell-substrate junction organization",1,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,0,0,0,0,0,1,8,4,12,"mixed"
"BP: coagulation",0,1,0,-1,0,-1,1,0,1,1,1,1,1,0,-1,0,-1,1,0,0,0,0,0,8,4,12,"mixed"
"BP: glial cell differentiation",0,1,0,-1,0,0,1,0,-1,1,1,1,1,-1,-1,0,0,1,1,0,0,0,0,8,4,12,"mixed"
"BP: gliogenesis",0,1,0,-1,0,0,1,0,-1,1,1,1,1,-1,-1,0,0,1,1,0,0,0,0,8,4,12,"mixed"
"BP: mononuclear cell migration",0,1,1,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,1,0,0,0,0,0,8,4,12,"mixed"
"BP: myeloid cell differentiation",0,1,0,-1,0,-1,1,1,-1,1,1,0,1,0,-1,0,0,0,0,0,0,1,1,8,4,12,"mixed"
"BP: regeneration",0,1,0,-1,0,-1,1,0,0,1,1,1,1,-1,-1,0,0,1,0,0,0,0,1,8,4,12,"mixed"
"BP: regulation of actin filament-based process",0,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,0,1,0,0,0,1,8,4,12,"mixed"
"BP: regulation of anatomical structure size",0,1,0,-1,0,-1,1,1,0,1,1,0,1,0,-1,0,-1,1,1,0,0,0,0,8,4,12,"mixed"
"BP: regulation of hemopoiesis",0,0,0,-1,0,0,1,0,-1,1,1,0,1,0,-1,0,0,1,0,-1,1,1,1,8,4,12,"mixed"
"BP: regulation of leukocyte migration",0,1,0,-1,0,-1,1,0,0,1,1,1,0,-1,-1,0,0,1,0,0,0,1,1,8,4,12,"mixed"
"BP: regulation of neurogenesis",0,0,0,0,0,-1,1,1,0,0,1,1,1,1,-1,0,-1,1,1,0,-1,0,0,8,4,12,"mixed"
"BP: regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",0,1,1,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,0,0,0,0,0,1,8,4,12,"mixed"
"BP: regulation of small GTPase mediated signal transduction",0,1,0,-1,0,1,1,0,0,1,1,1,1,-1,-1,0,-1,0,1,0,0,0,0,8,4,12,"mixed"
"BP: response to virus",0,1,0,-1,0,-1,1,0,0,1,1,0,1,-1,-1,0,0,1,0,0,1,1,0,8,4,12,"mixed"
"CC: apical junction complex",0,0,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,1,-1,0,1,1,0,0,0,8,4,12,"mixed"
"MF: monoatomic ion channel activity",0,1,1,1,0,-1,0,0,1,0,1,0,-1,1,1,0,-1,1,0,0,-1,0,0,8,4,12,"mixed"
"MF: peptidase regulator activity",0,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,1,0,1,-1,0,0,0,0,8,4,12,"mixed"
"BP: Golgi vesicle transport",0,1,-1,0,0,1,1,0,0,1,-1,-1,0,0,-1,1,-1,0,1,0,1,0,0,7,5,12,"mixed"
"BP: canonical NF-kappaB signal transduction",0,1,0,-1,0,0,1,0,-1,1,0,0,1,-1,-1,0,-1,0,0,0,1,1,1,7,5,12,"mixed"
"BP: cell activation involved in immune response",0,0,0,-1,0,0,1,0,0,1,1,0,1,-1,-1,-1,0,1,0,-1,0,1,1,7,5,12,"mixed"
"BP: cellular response to insulin stimulus",0,0,0,-1,0,1,1,0,-1,1,0,1,1,-1,-1,1,-1,0,1,0,0,0,0,7,5,12,"mixed"
"BP: cognition",0,1,1,1,-1,0,1,0,0,0,1,-1,-1,1,-1,0,0,0,1,0,-1,0,0,7,5,12,"mixed"
"BP: collagen metabolic process",0,1,0,-1,0,-1,1,0,-1,1,1,1,1,-1,-1,0,0,1,0,0,0,0,0,7,5,12,"mixed"
"BP: cytokine-mediated signaling pathway",0,1,0,-1,0,-1,1,0,0,0,0,1,1,-1,-1,0,-1,1,0,0,0,1,1,7,5,12,"mixed"
"BP: gastrulation",0,1,-1,-1,0,-1,0,0,0,1,1,1,1,-1,-1,0,0,1,1,0,0,0,0,7,5,12,"mixed"
"BP: interleukin-6 production",0,1,0,-1,0,-1,1,0,0,1,1,1,0,-1,-1,-1,0,1,0,0,0,0,1,7,5,12,"mixed"
"BP: learning or memory",0,1,1,1,-1,0,1,0,0,-1,1,-1,0,1,-1,0,0,0,1,0,-1,0,0,7,5,12,"mixed"
"BP: leukocyte activation involved in immune response",0,0,0,-1,0,0,1,0,0,1,1,0,1,-1,-1,-1,0,1,0,-1,0,1,1,7,5,12,"mixed"
"BP: leukocyte mediated immunity",0,0,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,-1,0,1,0,-1,0,0,1,7,5,12,"mixed"
"BP: lymphocyte proliferation",0,1,0,-1,0,0,1,0,0,1,1,0,1,-1,-1,-1,0,1,0,-1,0,0,1,7,5,12,"mixed"
"BP: morphogenesis of a branching epithelium",0,0,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,0,1,1,0,-1,-1,0,7,5,12,"mixed"
"BP: morphogenesis of a branching structure",0,0,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,0,1,1,0,-1,-1,0,7,5,12,"mixed"
"BP: negative regulation of cell development",0,0,0,-1,0,-1,1,0,-1,1,1,1,1,0,-1,0,0,1,0,0,-1,0,1,7,5,12,"mixed"
"BP: negative regulation of cell-cell adhesion",0,0,0,-1,0,-1,1,0,0,1,1,1,1,-1,-1,0,0,1,0,-1,0,0,1,7,5,12,"mixed"
"BP: negative regulation of response to external stimulus",0,1,0,-1,0,-1,1,0,0,1,1,1,1,0,-1,0,-1,1,0,-1,0,0,0,7,5,12,"mixed"
"BP: phagocytosis",0,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,-1,0,0,0,-1,0,1,0,7,5,12,"mixed"
"BP: positive regulation of chemotaxis",0,1,0,-1,0,-1,1,0,0,1,1,0,1,-1,-1,0,-1,1,0,0,0,0,1,7,5,12,"mixed"
"BP: positive regulation of leukocyte cell-cell adhesion",0,0,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,-1,0,0,0,-1,1,0,1,7,5,12,"mixed"
"BP: positive regulation of vasculature development",0,0,1,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,1,-1,0,0,0,0,7,5,12,"mixed"
"BP: regulation of body fluid levels",0,1,0,-1,0,-1,1,0,0,1,1,1,1,-1,-1,0,-1,1,0,0,0,0,0,7,5,12,"mixed"
"BP: regulation of interleukin-6 production",0,1,0,-1,0,-1,1,0,0,1,1,1,0,-1,-1,-1,0,1,0,0,0,0,1,7,5,12,"mixed"
"BP: regulation of leukocyte differentiation",0,0,0,-1,0,-1,1,0,-1,1,1,0,1,0,-1,0,0,1,0,-1,0,1,1,7,5,12,"mixed"
"BP: response to xenobiotic stimulus",0,1,0,-1,0,-1,1,0,0,1,1,1,1,0,-1,0,-1,0,0,1,-1,0,0,7,5,12,"mixed"
"CC: basal part of cell",0,1,0,-1,0,0,1,0,1,1,1,1,0,-1,-1,0,-1,0,1,0,0,-1,0,7,5,12,"mixed"
"CC: basolateral plasma membrane",0,1,0,-1,0,0,1,0,1,1,1,1,0,-1,-1,0,-1,0,1,0,0,-1,0,7,5,12,"mixed"
"CC: catalytic step 2 spliceosome",1,-1,-1,0,0,0,-1,0,0,0,-1,-1,1,1,0,0,1,0,0,1,1,1,0,7,5,12,"mixed"
"CC: coated vesicle",0,1,-1,-1,0,1,1,1,1,1,1,0,0,-1,-1,0,-1,0,0,0,0,0,0,7,5,12,"mixed"
"CC: membrane microdomain",0,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,-1,0,1,-1,0,0,0,7,5,12,"mixed"
"CC: monoatomic ion channel complex",0,1,1,1,0,-1,0,0,1,-1,1,0,-1,1,1,0,0,-1,0,0,-1,0,0,7,5,12,"mixed"
"CC: postsynaptic specialization",0,1,1,1,0,0,0,1,-1,-1,0,-1,-1,1,1,0,0,-1,1,0,0,0,0,7,5,12,"mixed"
"MF: GTP binding",0,1,-1,0,0,-1,1,0,0,1,-1,-1,1,1,-1,1,0,0,0,0,1,0,0,7,5,12,"mixed"
"MF: GTPase binding",1,0,-1,0,0,1,1,0,0,1,-1,0,1,0,-1,0,-1,-1,1,0,1,0,0,7,5,12,"mixed"
"MF: growth factor binding",0,1,0,-1,0,-1,1,0,0,1,1,1,1,-1,-1,0,-1,0,1,0,0,0,0,7,5,12,"mixed"
"MF: integrin binding",0,1,0,-1,0,-1,1,0,0,1,1,1,1,-1,-1,0,-1,1,0,0,0,0,0,7,5,12,"mixed"
"BP: RNA splicing",1,-1,-1,0,0,0,-1,0,-1,0,-1,-1,1,0,0,0,1,0,0,1,1,1,0,6,6,12,"mixed"
"BP: RNA splicing, via transesterification reactions",1,-1,-1,0,0,0,-1,0,-1,0,-1,-1,1,0,0,0,1,0,0,1,1,1,0,6,6,12,"mixed"
"BP: actin filament-based movement",0,1,0,-1,0,-1,0,0,1,1,1,0,1,0,-1,0,-1,1,0,0,-1,-1,0,6,6,12,"mixed"
"BP: cellular catabolic process",-1,1,0,-1,0,0,1,0,1,1,-1,1,1,-1,-1,0,0,0,0,0,0,-1,0,6,6,12,"mixed"
"BP: kidney development",0,-1,0,-1,-1,0,1,0,0,1,1,1,1,-1,-1,0,0,1,0,0,-1,0,0,6,6,12,"mixed"
"BP: lysosomal transport",0,1,-1,0,0,0,1,0,-1,1,-1,-1,0,-1,0,0,-1,0,0,0,1,1,1,6,6,12,"mixed"
"BP: mRNA processing",1,-1,-1,0,0,0,-1,0,-1,0,0,-1,1,0,0,0,1,0,0,1,1,1,-1,6,6,12,"mixed"
"BP: negative regulation of catalytic activity",-1,0,0,-1,0,-1,1,0,-1,1,1,0,1,0,-1,0,-1,0,0,0,1,1,0,6,6,12,"mixed"
"BP: regulation of T cell activation",0,0,0,-1,0,-1,1,0,0,1,1,0,1,-1,-1,-1,0,1,0,-1,0,0,1,6,6,12,"mixed"
