"term","ontology","ID","Description","sig_count","up_count","down_count","mean_NES","sd_NES","mean_up_NES","sd_up_NES","mean_down_NES","sd_down_NES","consensus"
"BP: sulfur amino acid transport","BP","GO:0000101","sulfur amino acid transport",3,1,2,-0.682948638448616,2.05627736126432,1.67702130595048,NA,-1.86293361064817,0.3199468161987,"mixed"
"BP: motile cilium assembly","BP","GO:0044458","motile cilium assembly",3,1,2,-0.496200044670692,1.88227675178884,1.67700615373253,NA,-1.5828031438723,0.0411554307740973,"mixed"
"BP: regulation of morphogenesis of a branching structure","BP","GO:0060688","regulation of morphogenesis of a branching structure",3,2,1,0.515959794126861,2.01101233015758,1.67391307904485,0.20786130899599,-1.79994677570911,NA,"mixed"
"BP: sterol transport","BP","GO:0015918","sterol transport",3,3,0,1.67381770708333,0.109393194049101,1.67381770708333,0.109393194049101,NA,NA,"up"
"MF: neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential","MF","GO:0099529","neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential",3,1,2,-0.659197958760845,2.02211346484813,1.67280191976723,NA,-1.82519789802488,0.143354732247646,"mixed"
"CC: exon-exon junction complex","CC","GO:0035145","exon-exon junction complex",3,1,2,-0.695475892147823,2.05135096112086,1.67164177992974,NA,-1.8790347281866,0.105888720787804,"mixed"
"BP: regulation of long-term synaptic potentiation","BP","GO:1900271","regulation of long-term synaptic potentiation",3,2,1,0.474295691921475,2.07424623908389,1.67159935401298,0.0614700346589948,-1.92031163226153,NA,"mixed"
"BP: positive regulation of ion transmembrane transporter activity","BP","GO:0032414","positive regulation of ion transmembrane transporter activity",3,2,1,0.570064628109545,1.90836032179697,1.67147371930706,0.071178076560999,-1.63275355428548,NA,"mixed"
"BP: positive regulation of response to endoplasmic reticulum stress","BP","GO:1905898","positive regulation of response to endoplasmic reticulum stress",3,1,2,-0.700184908401309,2.06016401397161,1.6710245643148,NA,-1.88578964475936,0.233666393987971,"mixed"
"BP: retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","BP","GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",3,2,1,0.595985397479206,1.86131805402312,1.67061654035936,0.00415174389151998,-1.55327688828111,NA,"mixed"
"BP: endochondral bone growth","BP","GO:0003416","endochondral bone growth",3,2,1,0.506032330004094,2.01635816761074,1.67016394244163,0.0136401511217307,-1.82223089487097,NA,"mixed"
"BP: negative regulation of protein exit from endoplasmic reticulum","BP","GO:0070862","negative regulation of protein exit from endoplasmic reticulum",3,1,2,-0.692879248771288,2.04707631271917,1.66998314102917,NA,-1.87431044367151,0.079780013108186,"mixed"
"MF: monoatomic cation transmembrane transporter activity","MF","GO:0008324","monoatomic cation transmembrane transporter activity",3,1,2,-0.621799657910415,1.98413950433701,1.66924207763873,NA,-1.76732052568499,0.01762935901821,"mixed"
"BP: regulation of extracellular matrix assembly","BP","GO:1901201","regulation of extracellular matrix assembly",3,2,1,0.524187212873525,1.98338729850476,1.66885940694203,0.0774839370346669,-1.76515717526349,NA,"mixed"
"MF: exopeptidase activity","MF","GO:0008238","exopeptidase activity",3,2,1,0.554989814428261,1.93420918422881,1.66772827053624,0.230670991892756,-1.67048709778769,NA,"mixed"
"BP: defense response to fungus","BP","GO:0050832","defense response to fungus",3,3,0,1.66644473114874,0.04776850546956,1.66644473114874,0.04776850546956,NA,NA,"up"
"BP: regulation of heterotypic cell-cell adhesion","BP","GO:0034114","regulation of heterotypic cell-cell adhesion",3,2,1,0.558477251130917,1.91934604137484,1.66632442027837,0.0618575133224353,-1.65721708716398,NA,"mixed"
"BP: positive regulation of alcohol biosynthetic process","BP","GO:1902932","positive regulation of alcohol biosynthetic process",3,3,0,1.66527021289039,0.0844268010792604,1.66527021289039,0.0844268010792604,NA,NA,"up"
"BP: regulation of insulin-like growth factor receptor signaling pathway","BP","GO:0043567","regulation of insulin-like growth factor receptor signaling pathway",3,2,1,0.471415926457484,2.06869757828909,1.66492033238291,0.110917713003277,-1.91559288539337,NA,"mixed"
"CC: lateral plasma membrane","CC","GO:0016328","lateral plasma membrane",3,2,1,0.592101497714162,1.85676398380805,1.66408217704973,0.0170153436948501,-1.55185986095697,NA,"mixed"
"BP: response to starvation","BP","GO:0042594","response to starvation",3,1,2,-0.525730873418204,1.90125232016915,1.66295583501645,NA,-1.62007422763553,0.209753446644829,"mixed"
"BP: negative regulation of osteoclast differentiation","BP","GO:0045671","negative regulation of osteoclast differentiation",3,2,1,0.511869214922763,1.99340077765925,1.66275101849468,0.010943764767328,-1.78989439222107,NA,"mixed"
"BP: intestinal epithelial cell differentiation","BP","GO:0060575","intestinal epithelial cell differentiation",3,1,2,-0.659545684164459,2.01460560666507,1.66232992717316,NA,-1.82048348983327,0.174962764684385,"mixed"
"BP: histamine secretion","BP","GO:0001821","histamine secretion",3,2,1,0.544229887734385,1.93704200001332,1.66220266123974,0.0713069830776758,-1.69171565927633,NA,"mixed"
"BP: xenobiotic metabolic process","BP","GO:0006805","xenobiotic metabolic process",3,2,1,0.59072126846491,1.85665348557068,1.66135605171773,0.129504039699979,-1.55054829804073,NA,"mixed"
"BP: response to muscle stretch","BP","GO:0035994","response to muscle stretch",3,1,2,-0.707488491716501,2.05197465010149,1.66117728091323,NA,-1.89182137803137,0.0730316073821068,"mixed"
"BP: regulation of vacuole organization","BP","GO:0044088","regulation of vacuole organization",3,1,2,-0.667972898738988,2.01733180035461,1.66092184419088,NA,-1.83242027020392,0.0602420117057812,"mixed"
"BP: plasma lipoprotein particle organization","BP","GO:0071827","plasma lipoprotein particle organization",3,2,1,0.487478595133717,2.0355495044866,1.66067350904457,0.169132298138432,-1.85891123268798,NA,"mixed"
"BP: macrophage proliferation","BP","GO:0061517","macrophage proliferation",3,2,1,0.545347805643142,1.92994431497471,1.6595894342701,0.0127935927256458,-1.68313545161078,NA,"mixed"
"BP: microtubule anchoring","BP","GO:0034453","microtubule anchoring",3,1,2,-0.632147836659536,1.98776832562254,1.65925362884516,NA,-1.77784856941188,0.163293657319754,"mixed"
"CC: U4 snRNP","CC","GO:0005687","U4 snRNP",3,1,2,-0.685518881457523,2.03024664449938,1.65876845907688,NA,-1.85766255172473,0.0166785046452292,"mixed"
"BP: platelet formation","BP","GO:0030220","platelet formation",3,2,1,0.503739297390657,2.0005376180921,1.65875015186188,0.00103880948141283,-1.80628241155179,NA,"mixed"
"BP: regulation of extent of cell growth","BP","GO:0061387","regulation of extent of cell growth",3,3,0,1.6585068742422,0.179671316966904,1.6585068742422,0.179671316966904,NA,NA,"up"
"BP: cellular response to dopamine","BP","GO:1903351","cellular response to dopamine",3,2,1,0.51156369199357,1.98350090419126,1.65639195497385,0.0690011850946875,-1.77809283396699,NA,"mixed"
"BP: organic cation transport","BP","GO:0015695","organic cation transport",3,2,1,0.542904169056423,1.93098672272975,1.65564898753157,0.167968034034372,-1.68258546789387,NA,"mixed"
"BP: protein insertion into ER membrane","BP","GO:0045048","protein insertion into ER membrane",3,2,1,0.556384325480976,1.90581299843962,1.65537670309255,0.13244203922015,-1.64160042974217,NA,"mixed"
"BP: regulation of mast cell degranulation","BP","GO:0043304","regulation of mast cell degranulation",3,3,0,1.65460593994781,0.0479921287336918,1.65460593994781,0.0479921287336918,NA,NA,"up"
"BP: regulation of cilium assembly","BP","GO:1902017","regulation of cilium assembly",3,2,1,0.598822094793567,1.8320023431706,1.6542624476644,0.16952622203229,-1.51205861094809,NA,"mixed"
"CC: dendritic shaft","CC","GO:0043198","dendritic shaft",3,3,0,1.65387903100616,0.101088448461673,1.65387903100616,0.101088448461673,NA,NA,"up"
"BP: peroxisome organization","BP","GO:0007031","peroxisome organization",3,1,2,-0.564681612478794,1.9214797511868,1.65370748729227,NA,-1.67387616236433,0.0478912462476258,"mixed"
"BP: cardiac epithelial to mesenchymal transition","BP","GO:0060317","cardiac epithelial to mesenchymal transition",3,1,2,-0.676314098399987,2.025163295055,1.65275956275375,NA,-1.84085092897685,0.25631341099508,"mixed"
"BP: positive regulation of monoatomic ion transmembrane transport","BP","GO:0034767","positive regulation of monoatomic ion transmembrane transport",3,3,0,1.65230326582447,0.0418907365411395,1.65230326582447,0.0418907365411395,NA,NA,"up"
