"term","Indelicato_0.05_all_genes.rds","Lai_CNS_0.05_all_genes.rds","Lai_iPSC_0.05_all_genes.rds","Lai_PNS_0.05_all_genes.rds","Lees_FA1_0.05_all_genes.rds","Lees_FA2_0.05_all_genes.rds","Lees_FA3_0.05_all_genes.rds","Maddock_LMN_FA2_0.05_all_genes.rds","Maddock_NCC_FA1_0.05_all_genes.rds","Maddock_NCC_FA2_0.05_all_genes.rds","Maddock_SN_FA1_0.05_all_genes.rds","Maddock_SN_FA2_0.05_all_genes.rds","Mishra_223_0.05_all_genes.rds","Mishra_850_0.05_all_genes.rds","Mishra_FF1_0.05_all_genes.rds","Mishra_FF2_0.05_all_genes.rds","Napierala_0.05_all_genes.rds","Vilema_0.05_all_genes.rds","Erwin_0.05_all_genes.rds"
"BP: Sertoli cell differentiation",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: T cell activation",0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1
"BP: T cell activation involved in immune response",0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0
"BP: T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: T cell apoptotic process",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"BP: T cell chemotaxis",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"BP: T cell costimulation",0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"BP: T cell cytokine production",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"BP: T cell differentiation",0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0
"BP: T cell differentiation in thymus",0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
"BP: T cell differentiation involved in immune response",0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0
"BP: T cell extravasation",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: T cell lineage commitment",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"BP: T cell mediated cytotoxicity",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
"BP: T cell mediated immune response to tumor cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BP: T cell mediated immunity",0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0
"BP: T cell migration",0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
"BP: T cell proliferation",0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0
"BP: T cell receptor signaling pathway",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1
"BP: T cell selection",0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
"BP: T cell tolerance induction",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: T follicular helper cell differentiation",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: T-helper 1 cell differentiation",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: T-helper 1 type immune response",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: T-helper 17 cell differentiation",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"BP: T-helper 17 cell lineage commitment",0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
"BP: T-helper 17 type immune response",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"BP: T-helper 2 cell cytokine production",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: T-helper 2 cell differentiation",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"BP: T-helper cell differentiation",0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0
"BP: T-helper cell lineage commitment",0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
"BP: TOR signaling",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
