dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Lai_CNS,LRIG3,LRIG3,3,codingPotential; domain_identified; signal_peptide_identified,0.19006666666666666,3.341634096756153e-11
Lai_CNS,CLPTM1,CLPTM1,1,IR,0.1612333333333333,8.972536137849585e-11
Lai_CNS,SSBP3,SSBP3,2,codingPotential; domain_identified,0.3709333333333333,1.1520156416013124e-10
Lai_CNS,CREM,CREM,1,IR,0.1895,2.3311808267636355e-10
Lai_CNS,BBS4,BBS4,1,PTC,0.37023333333333336,2.928731030270842e-10
Lai_CNS,FANCG,FANCG,1,IR,0.2720333333333333,7.248535533118954e-10
Lai_CNS,PSRC1,PSRC1,2,codingPotential; domain_identified,0.25183333333333335,8.866202831343351e-10
Lai_CNS,SBF2,SBF2,1,PTC,0.11326666666666667,8.866202831343351e-10
Lai_CNS,EBNA1BP2,EBNA1BP2,1,IR,0.2439,1.2695483324950475e-9
Lai_CNS,INPP5K,INPP5K,2,IR; PTC,0.23866666666666667,1.6631385874790821e-9
Lai_CNS,RHNO1,RHNO1,2,codingPotential; domain_identified,0.1489,1.859016457982969e-9
Lai_CNS,MKKS,MKKS,3,codingPotential; domain_identified; IR,0.1276666666666667,2.563069943582902e-9
Lai_CNS,SMC4,SMC4,1,IR,0.14273333333333332,3.1465846701541716e-9
Lai_CNS,FOXRED1,FOXRED1,1,PTC,0.38763333333333333,6.220112344193275e-9
Lai_CNS,APTX,APTX,4,codingPotential; domain_identified; IR; PTC,0.12673333333333334,6.228977768012508e-9
Lai_CNS,SLC41A3,SLC41A3,1,IR,0.1089,6.7405628642729165e-9
Lai_CNS,CNOT11,CNOT11,2,codingPotential; domain_identified,0.27849999999999997,7.0934709367757236e-09
Lai_CNS,CCNYL1,CCNYL1,3,codingPotential; domain_identified; IR,0.448,7.404129847023828e-9
Lai_CNS,OSBPL1A,OSBPL1A,2,codingPotential; domain_identified,0.12663333333333332,7.431519243702869e-9
Lai_CNS,BICD2,BICD2,3,codingPotential; domain_identified; IR,0.20450000000000002,7.49665782093366e-9
Lai_CNS,PDE8A,PDE8A,3,codingPotential; domain_identified; PTC,0.23836666666666664,9.123433303054344e-9
Lai_CNS,RPP25L,RPP25L,2,codingPotential; domain_identified,0.5861333333333334,1.1109319386302693e-8
Lai_CNS,KAT14,KAT14,2,codingPotential; domain_identified,0.1815,1.9219358576579006e-8
Lai_CNS,ARHGEF7,ARHGEF7,2,codingPotential; domain_identified,0.18863333333333332,2.2681608044540293e-8
Lai_CNS,SHC1,SHC1,2,codingPotential; domain_identified,0.3764333333333333,2.9036164516627072e-8
Lai_CNS,PTPMT1,PTPMT1,2,IR; PTC,0.2689666666666667,3.314171407368934e-8
Lai_CNS,TUBA1C,TUBA1C,2,codingPotential; domain_identified,0.3046333333333333,3.707177378103445e-8
Lai_CNS,PIGT,PIGT,1,PTC,0.11803333333333334,4.108028332742691e-8
Lai_CNS,NAPEPLD,NAPEPLD,3,codingPotential; domain_identified; IR,0.32203333333333334,4.2887271053064426e-8
Lai_CNS,BCLAF3,BCLAF3,1,PTC,0.10816666666666666,5.205079296504144e-8
Lai_CNS,NLGN3,NLGN3,3,codingPotential; domain_identified; signal_peptide_identified,0.38120000000000004,5.324505797730633e-8
Lai_CNS,PKD1,PKD1,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.3056666666666667,6.240576280080645e-8
Lai_CNS,ACY1,ACY1,4,codingPotential; domain_identified; IR; PTC,0.5903666666666667,6.62191195814954e-8
Lai_CNS,CAPN5,CAPN5,1,PTC,0.2256,6.62191195814954e-8
Lai_CNS,PPIL3,PPIL3,1,PTC,0.1431,6.62191195814954e-8
Lai_CNS,CTNND1,CTNND1,1,codingPotential,0.24626666666666666,1.1371475019321849e-7
Lai_CNS,TTLL5,TTLL5,2,codingPotential; domain_identified,0.17793333333333333,1.2694595523842074e-7
Lai_CNS,THUMPD3-AS1,THUMPD3-AS1,1,IR,0.1303,1.635181942060126e-7
Lai_CNS,APPL2,APPL2,2,codingPotential; domain_identified,0.2285,1.784356273287778e-7
Lai_CNS,NRSN2,NRSN2,1,IR,0.46326666666666666,2.0249885194252372e-7
Lai_CNS,CALD1,CALD1,4,codingPotential; domain_identified; IR; PTC,0.16509999999999997,2.520763345598086e-7
Lai_CNS,SDHAF3,SDHAF3,2,codingPotential; domain_identified,0.4273333333333333,2.553335296825342e-7
Lai_CNS,ASB16-AS1,ASB16-AS1,1,IR,0.3493,2.564962272762472e-7
Lai_CNS,TRAFD1,TRAFD1,1,codingPotential,0.14573333333333333,2.648835377456182e-7
Lai_CNS,DZIP3,DZIP3,2,codingPotential; domain_identified,0.2508,2.8460445051537195e-7
Lai_CNS,ACTA2,ACTA2,2,codingPotential; domain_identified,0.5523666666666667,4.346489891988162e-7
Lai_CNS,ECI2,ECI2,2,codingPotential; domain_identified,0.4836333333333334,4.5671036908858253e-7
Lai_CNS,PFKFB3,PFKFB3,1,PTC,0.1114,4.6102872369307345e-7
Lai_CNS,MOB3A,MOB3A,2,codingPotential; domain_identified,0.25853333333333334,4.789365026520622e-7
Lai_CNS,NAV2,NAV2,2,codingPotential; domain_identified,0.16706666666666667,5.72022296769239e-7
Lai_CNS,NUAK1,NUAK1,2,codingPotential; domain_identified,0.2309,6.431328065468977e-7
Lai_CNS,PSMD13,PSMD13,2,codingPotential; domain_identified,0.18489999999999995,7.029219994841857e-7
Lai_CNS,GPR89A,GPR89A,2,codingPotential; domain_identified,0.2747333333333334,9.821475310784467e-7
Lai_CNS,NCAPD3,NCAPD3,2,IR; PTC,0.14046666666666666,1.1974279480746388e-6
Lai_CNS,NAV3,NAV3,1,IR,0.105,1.2081032287210152e-6
Lai_CNS,DNAJC16,DNAJC16,3,codingPotential; domain_identified; signal_peptide_identified,0.1903,1.2452008046941813e-6
Lai_CNS,RTN4,RTN4,2,codingPotential; domain_identified,0.12419999999999998,1.6578452628169428e-6
Lai_CNS,CAST,CAST,1,IR,0.10636666666666666,1.7121247274417894e-6
