gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00002038,C1QBP,C1QBP,Control,FRDA,0.03838074744359588,476
geneComp_00031944,UNK,UNK,Control,FRDA,0.03873575616590853,477
geneComp_00019508,KTN1,KTN1,Control,FRDA,0.04034995897585831,478
geneComp_00004654,DPP8,DPP8,Control,FRDA,0.04078259873223793,479
geneComp_00028069,SCRN3,SCRN3,Control,FRDA,0.041703551599729945,480
geneComp_00023942,PDHB,PDHB,Control,FRDA,0.041851492533598704,481
geneComp_00004744,DUS3L,DUS3L,Control,FRDA,0.04207374782239365,482
geneComp_00032456,XBP1,XBP1,Control,FRDA,0.043313321293431475,483
geneComp_00022754,NHS,NHS,Control,FRDA,0.043692880976962806,484
geneComp_00029355,SNX19,SNX19,Control,FRDA,0.04381371894561399,485
geneComp_00021953,MRPL43,MRPL43,Control,FRDA,0.04410250826342475,486
geneComp_00031855,UBR2,UBR2,Control,FRDA,0.04491061689489155,487
geneComp_00028471,SHROOM2,SHROOM2,Control,FRDA,0.047321091867532666,488
geneComp_00004726,DTNB,DTNB,Control,FRDA,0.04769145381722564,489
geneComp_00032034,USP38,USP38,Control,FRDA,0.04769858194477474,490
geneComp_00029133,SNHG3,SNHG3,Control,FRDA,0.04790788312332489,491
geneComp_00032635,ZBTB44,ZBTB44,Control,FRDA,0.04818267095493068,492
geneComp_00024202,PI4KB,PI4KB,Control,FRDA,0.04818963909298575,493
geneComp_00000933,APOLD1,APOLD1,Control,FRDA,0.04826618238531879,494
geneComp_00032901,ZNF222,ZNF222,Control,FRDA,0.048443102039998256,495
geneComp_00017131,GFOD2,GFOD2,Control,FRDA,0.0488962615342908,496
geneComp_00030965,TMEM50A,TMEM50A,Control,FRDA,0.049425636230285355,497
geneComp_00030389,TDRKH,TDRKH,Control,FRDA,0.049453568089656404,498
geneComp_00020630,LINC03000,LINC03000,Control,FRDA,0.049900205872516964,499
