gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00031380,UBE2D3-AS1,UBE2D3-AS1,Control,FRDA,0.0422410152069944,537
geneComp_00026819,RNF217,RNF217,Control,FRDA,0.04283161957232056,538
geneComp_00002105,C1QTNF1-AS1,C1QTNF1-AS1,Control,FRDA,0.043646459660959466,539
geneComp_00015540,ENSG00000307892.1,NA,Control,FRDA,0.04448322225249722,540
geneComp_00000594,AKT1,AKT1,Control,FRDA,0.04488840349817866,541
geneComp_00019470,KBTBD3,KBTBD3,Control,FRDA,0.044889499083927635,542
geneComp_00024872,PIP4K2A,PIP4K2A,Control,FRDA,0.044889499083927635,543
geneComp_00020026,LAMTOR5-AS1,LAMTOR5-AS1,Control,FRDA,0.044907970684691434,544
geneComp_00004649,DMD,DMD,Control,FRDA,0.04502245241856917,545
geneComp_00000563,AKAP12,AKAP12,Control,FRDA,0.04555278955610487,546
geneComp_00009627,ENSG00000280145.4,NA,Control,FRDA,0.04578452139265639,547
geneComp_00002383,CAPN3,CAPN3,Control,FRDA,0.04589026351778053,548
geneComp_00031961,WDR45,WDR45,Control,FRDA,0.04610132793194878,549
geneComp_00006590,ENSG00000248636.8,NA,Control,FRDA,0.046115996917592994,550
geneComp_00019015,IKZF4,IKZF4,Control,FRDA,0.046232337074979445,551
geneComp_00031984,WDR76,WDR76,Control,FRDA,0.04655960096133603,552
geneComp_00016381,EXOSC1,EXOSC1,Control,FRDA,0.04662052514472556,553
geneComp_00031502,UGDH-AS1,UGDH-AS1,Control,FRDA,0.04662052514472556,554
geneComp_00016148,ENTREP1,ENTREP1,Control,FRDA,0.04745622499257082,555
geneComp_00031898,WARS1,WARS1,Control,FRDA,0.04745622499257082,556
geneComp_00028778,SMTN,SMTN,Control,FRDA,0.04801472496467507,557
geneComp_00002713,CCNY,CCNY,Control,FRDA,0.04804182683814931,558
geneComp_00016770,FBXO25,FBXO25,Control,FRDA,0.048060052629729566,559
geneComp_00017484,GEMIN2,GEMIN2,Control,FRDA,0.0483142915155482,560
