dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Mishra_223,ARID4A,ARID4A,2,codingPotential; domain_identified,0.16357500000000003,0.011069697277372191
Mishra_223,THCAT155,THCAT155,1,codingPotential,0.21189999999999998,0.011173233104939548
Mishra_223,ATG7,ATG7,2,codingPotential; domain_identified,0.16444999999999999,0.01121099543096184
Mishra_223,NOL4,NOL4,3,codingPotential; domain_identified; IR,0.1641,0.011261493195552103
Mishra_223,SMIM14,SMIM14,1,domain_identified,0.16859999999999997,0.011298203949877409
Mishra_223,TAGLN,TAGLN,3,codingPotential; domain_identified; IR,0.24644999999999995,0.011316204731508819
Mishra_223,KIAA0408,KIAA0408,1,codingPotential,0.168875,0.011316204731508819
Mishra_223,PTPRM,PTPRM,2,codingPotential; domain_identified,0.151675,0.011316204731508819
Mishra_223,SGTB,SGTB,2,codingPotential; domain_identified,0.122475,0.011363683074155782
Mishra_223,THEM4,THEM4,2,codingPotential; PTC,0.27337500000000003,0.01175635732137056
Mishra_223,ENSG00000290912.2,NA,1,IR,0.12290000000000001,0.01204298659939108
Mishra_223,HECW2,HECW2,2,codingPotential; domain_identified,0.16755,0.012170579746469883
Mishra_223,ENSG00000299022.1,NA,1,codingPotential,0.11710000000000001,0.012314295225941655
Mishra_223,ARHGAP32,ARHGAP32,2,codingPotential; domain_identified,0.136,0.012407193846347336
Mishra_223,SEPTIN11,SEPTIN11,3,codingPotential; domain_identified; IR,0.11262500000000009,0.012677121418757792
Mishra_223,CAPN3,CAPN3,3,codingPotential; domain_identified; IR,0.153075,0.012744551870946289
Mishra_223,RHOF,RHOF,2,codingPotential; domain_identified,0.16495,0.012938769360273364
Mishra_223,SYNPO,SYNPO,1,codingPotential,0.41475,0.013355781311124948
Mishra_223,CDH18,CDH18,3,codingPotential; domain_identified; signal_peptide_identified,0.14922500000000002,0.013410520154790289
Mishra_223,USP2,USP2,2,codingPotential; domain_identified,0.21542499999999998,0.013495297383176874
Mishra_223,CIR1,CIR1,2,codingPotential; domain_identified,0.14617500000000005,0.01392116602849534
Mishra_223,PRPF39,PRPF39,4,codingPotential; domain_identified; IR; PTC,0.14547499999999997,0.013998285961474708
Mishra_223,SATB2,SATB2,2,codingPotential; domain_identified,0.258525,0.014124281724428723
Mishra_223,GTF2IRD2,GTF2IRD2,2,codingPotential; domain_identified,0.3454,0.014221289277125227
Mishra_223,DYNC1I1,DYNC1I1,2,codingPotential; domain_identified,0.14839999999999998,0.014222620620671993
Mishra_223,BAIAP2-DT,BAIAP2-DT,1,codingPotential,0.20457499999999995,0.014269639864106188
Mishra_223,ZNF843,ZNF843,1,codingPotential,0.307825,0.014687580675378974
Mishra_223,CTPS2,CTPS2,2,codingPotential; domain_identified,0.16495000000000004,0.01481678573705474
Mishra_223,CFAP70,CFAP70,3,codingPotential; IR; PTC,0.13119999999999993,0.014840708573722517
Mishra_223,MOB1B,MOB1B,2,codingPotential; domain_identified,0.11674999999999999,0.01582854090913853
Mishra_223,NUMB,NUMB,2,codingPotential; domain_identified,0.11445,0.016010212677874083
Mishra_223,RRN3P3,RRN3P3,1,codingPotential,0.38792499999999996,0.01613929180595595
Mishra_223,CKAP2,CKAP2,2,codingPotential; domain_identified,0.106975,0.01621343903064119
Mishra_223,NSFL1C,NSFL1C,2,codingPotential; domain_identified,0.13589999999999997,0.016662540695239998
Mishra_223,WNT2B,WNT2B,2,codingPotential; domain_identified,0.26335,0.01672501002469121
Mishra_223,TAMM41,TAMM41,2,codingPotential; domain_identified,0.17904999999999993,0.018147975405633582
Mishra_223,PPP2R2B,PPP2R2B,1,codingPotential,0.15915,0.018147975405633582
Mishra_223,ZNF24,ZNF24,2,codingPotential; domain_identified,0.14107500000000006,0.018147975405633582
Mishra_223,STK40,STK40,2,codingPotential; domain_identified,0.10485,0.018483437054396357
Mishra_223,KIF13A,KIF13A,2,codingPotential; domain_identified,0.11645,0.01874015351265841
Mishra_223,SCLT1,SCLT1,1,codingPotential,0.10635,0.01893129373339057
Mishra_223,CC2D2A,CC2D2A,3,codingPotential; domain_identified; IR,0.15255000000000002,0.019294481820521646
Mishra_223,PAF1,PAF1,3,codingPotential; domain_identified; IR,0.13039999999999996,0.019311157489908765
Mishra_223,ZFX,ZFX,2,codingPotential; domain_identified,0.11890000000000002,0.019311157489908765
Mishra_223,CIB1,CIB1,2,codingPotential; IR,0.20365,0.019360267236182227
Mishra_223,DCUN1D2,DCUN1D2,2,codingPotential; domain_identified,0.140725,0.019688121176380434
Mishra_223,WDR53,WDR53,2,codingPotential; domain_identified,0.29325,0.019709846216964755
Mishra_223,SNX8,SNX8,1,codingPotential,0.184075,0.020221186259707792
Mishra_223,ATG14,ATG14,2,codingPotential; domain_identified,0.10472500000000007,0.020221186259707792
Mishra_223,PLCB4,PLCB4,2,codingPotential; domain_identified,0.1004,0.020300085129169445
Mishra_223,STAT5B,STAT5B,2,codingPotential; IR,0.104875,0.020538786651858175
Mishra_223,AMDHD2,AMDHD2,3,codingPotential; domain_identified; IR,0.12497499999999997,0.02105851444688315
Mishra_223,KLC1,KLC1,2,codingPotential; domain_identified,0.15585,0.02120184974021375
Mishra_223,OSCP1,OSCP1,2,codingPotential; domain_identified,0.10012499999999999,0.02120788684587108
Mishra_223,GRIN2B,GRIN2B,3,codingPotential; domain_identified; signal_peptide_identified,0.401875,0.02145326572078817
Mishra_223,ARID4B,ARID4B,3,codingPotential; domain_identified; IR,0.11307500000000004,0.02148313707855938
Mishra_223,PPP1R9A,PPP1R9A,2,codingPotential; domain_identified,0.13922500000000002,0.021572020157435985
Mishra_223,MEIS2,MEIS2,1,codingPotential,0.11975000000000001,0.02169360028911509
Mishra_223,PIBF1,PIBF1,1,codingPotential,0.12919999999999998,0.021815311133848908
Mishra_223,ASAP3,ASAP3,2,codingPotential; domain_identified,0.1943499999999999,0.021938494844198003
Mishra_223,GPR85,GPR85,2,codingPotential; domain_identified,0.11882500000000001,0.022149385227382055
Mishra_223,SAMHD1,SAMHD1,4,codingPotential; domain_identified; IR; PTC,0.129425,0.022225865169986602
Mishra_223,BCRP3,BCRP3,2,codingPotential; IR,0.383875,0.022685757597386884
Mishra_223,FAM98A,FAM98A,3,codingPotential; domain_identified; IR,0.178875,0.02273316322518111
Mishra_223,RIBC1,RIBC1,3,codingPotential; domain_identified; IR,0.4706499999999999,0.022845786235931576
Mishra_223,LMO4,LMO4,2,codingPotential; IR,0.10305,0.022981039762097682
Mishra_223,TAF12,TAF12,2,codingPotential; domain_identified,0.2107,0.023083435417661072
