"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"TRIM52-AS1","TRIM52-AS1","ENST00000840392","Control","FRDA",0.252025,0.043,-0.209025,9.34126146178118e-34,"Higher in Control"
"ENSG00000282885.4",NA,"ENST00000659240","Control","FRDA",0.50755,0,-0.50755,9.16566235429551e-33,"Higher in Control"
"SAMHD1","SAMHD1","ENST00000644688","Control","FRDA",0,0.226625,0.226625,1.62227865508205e-32,"Higher in FRDA"
"TXNRD2","TXNRD2","ENST00000400521","Control","FRDA",0,0.2351,0.2351,2.26615432733605e-32,"Higher in FRDA"
"KIAA0040","KIAA0040","ENST00000619513","Control","FRDA",0,0.2435,0.2435,7.98279779214488e-32,"Higher in FRDA"
"PCDHGC3","PCDHGC3","ENST00000622836","Control","FRDA",0.88345,0.045075,-0.838375,1.40105321395004e-28,"Higher in Control"
"FBRS","FBRS","ENST00000482749","Control","FRDA",0,0.187575,0.187575,2.53440477481482e-28,"Higher in FRDA"
"DYSF","DYSF","ENST00000409582","Control","FRDA",0.10615,0,-0.10615,2.53614607715094e-26,"Higher in Control"
"PCDHGA10","PCDHGA10","ENST00000398610","Control","FRDA",0.431625,0.847,0.415375,3.29879200863583e-26,"Higher in FRDA"
"LINC00115","LINC00115","ENST00000743874","Control","FRDA",0,0.129075,0.129075,4.39862037586231e-26,"Higher in FRDA"
"WDR59","WDR59","ENST00000562371","Control","FRDA",0,0.2416,0.2416,1.8868425811273e-24,"Higher in FRDA"
"PCDHGA10","PCDHGA10","ENST00000612503","Control","FRDA",0.568375,0.153,-0.415375,4.25118332641046e-24,"Higher in Control"
"NRG1","NRG1","ENST00000650980","Control","FRDA",0,0.12085,0.12085,4.52616443165847e-22,"Higher in FRDA"
"PCDHAC2","PCDHAC2","ENST00000673410","Control","FRDA",0,0.143175,0.143175,8.80909327048964e-22,"Higher in FRDA"
"TPD52L1","TPD52L1","ENST00000530868","Control","FRDA",0,0.17895,0.17895,5.88111342148044e-21,"Higher in FRDA"
"ENSG00000291159.2",NA,"ENST00000560416","Control","FRDA",0,0.17175,0.17175,9.63076963397825e-21,"Higher in FRDA"
"GSR","GSR","ENST00000521479","Control","FRDA",0,0.1448,0.1448,3.53373619002166e-19,"Higher in FRDA"
"FMN2","FMN2","ENST00000545751","Control","FRDA",0,0.171075,0.171075,2.96081058210633e-18,"Higher in FRDA"
"MTRF1L","MTRF1L","ENST00000485512","Control","FRDA",0.168325,0,-0.168325,8.51079091456273e-17,"Higher in Control"
"CD44","CD44","ENST00000425428","Control","FRDA",0.178725,0,-0.178725,1.19636764299259e-16,"Higher in Control"
"RASA4","RASA4","ENST00000262940","Control","FRDA",0.215525,0.34745,0.131925,4.34982599776668e-15,"Higher in FRDA"
"RASA4","RASA4","ENST00000461209","Control","FRDA",0.5316,0.3238,-0.2078,8.15827577215111e-15,"Higher in Control"
"ACTA2","ACTA2","ENST00000458159","Control","FRDA",0.1125,0.000875,-0.111625,3.92738523777751e-14,"Higher in Control"
"ENSG00000308602.1",NA,"ENST00000835284","Control","FRDA",0,0.181775,0.181775,2.632374952467e-12,"Higher in FRDA"
"BBC3","BBC3","ENST00000449228","Control","FRDA",0.145525,0,-0.145525,4.30503585284209e-12,"Higher in Control"
"ENSG00000290385.2",NA,"ENST00000642074","Control","FRDA",0.166825,0.0283,-0.138525,5.31971033774814e-11,"Higher in Control"
"FMN2","FMN2","ENST00000319653","Control","FRDA",0.736575,0.122,-0.614575,9.05873518344695e-11,"Higher in Control"
"BSCL2","BSCL2","ENST00000360796","Control","FRDA",0.509825,0.3228,-0.187025,5.05957715498951e-10,"Higher in Control"
"RIPOR1","RIPOR1","ENST00000428437","Control","FRDA",0.15105,0.0447,-0.10635,6.17204699395034e-10,"Higher in Control"
"RPS6KL1","RPS6KL1","ENST00000555647","Control","FRDA",0,0.1219,0.1219,7.85603476259702e-10,"Higher in FRDA"
"TGFB1I1","TGFB1I1","ENST00000569703","Control","FRDA",0,0.27555,0.27555,3.80049219265205e-09,"Higher in FRDA"
"PDLIM2","PDLIM2","ENST00000614502","Control","FRDA",0.33835,0,-0.33835,3.99286284375342e-09,"Higher in Control"
"ENSG00000290937.2",NA,"ENST00000779248","Control","FRDA",0.291475,0.068125,-0.22335,5.07657913785119e-09,"Higher in Control"
"NCKIPSD","NCKIPSD","ENST00000294129","Control","FRDA",0.369275,0.204675,-0.1646,6.21695317532585e-09,"Higher in Control"
"LINC01833","LINC01833","ENST00000437916","Control","FRDA",0.072425,0.24065,0.168225,1.08541958552231e-08,"Higher in FRDA"
"CYTH2","CYTH2","ENST00000704950","Control","FRDA",0.0915,0.19255,0.10105,2.39927960118264e-08,"Higher in FRDA"
"TRIM52-AS1","TRIM52-AS1","ENST00000715346","Control","FRDA",0.15445,0.0435,-0.11095,3.16410862995274e-08,"Higher in Control"
"ENSG00000282885.4",NA,"ENST00000655317","Control","FRDA",0.11775,0.49225,0.3745,3.71887803440313e-08,"Higher in FRDA"
"GPRC5B","GPRC5B","ENST00000562348","Control","FRDA",0.4837,0.2441,-0.2396,6.14118036355469e-08,"Higher in Control"
"CYTH2","CYTH2","ENST00000452733","Control","FRDA",0.091575,0.192425,0.10085,9.222965823685e-08,"Higher in FRDA"
"RBMS3","RBMS3","ENST00000434693","Control","FRDA",0.28855,0.1526,-0.13595,9.28512432871112e-08,"Higher in Control"
"ENSG00000291096.2",NA,"ENST00000774399","Control","FRDA",0,0.10025,0.10025,9.34234870225253e-08,"Higher in FRDA"
