gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00004496,DBNL,DBNL,Control,FRDA,9.693714796190264e-5,75
geneComp_00026197,MAST4,MAST4,Control,FRDA,1.2283633590025477e-4,76
geneComp_00002228,C1QTNF6,C1QTNF6,Control,FRDA,1.4283653727678515e-4,77
geneComp_00028173,NRG1,NRG1,Control,FRDA,1.7790194682985644e-4,78
geneComp_00035104,SULF2,SULF2,Control,FRDA,2.2033237717338986e-4,79
geneComp_00034966,STEEP1,STEEP1,Control,FRDA,2.2096442916062954e-4,80
geneComp_00005436,EFHB,EFHB,Control,FRDA,2.5131750673450666e-4,81
geneComp_00028411,OCIAD1,OCIAD1,Control,FRDA,2.7800916145062366e-4,82
geneComp_00034245,SNHG15,SNHG15,Control,FRDA,2.924037018411616e-4,83
geneComp_00023056,IL1RAP,IL1RAP,Control,FRDA,3.4617708855652206e-4,84
geneComp_00027588,NCOA4,NCOA4,Control,FRDA,3.9722273184196103e-4,85
geneComp_00027955,NNAT,NNAT,Control,FRDA,4.001317696674233e-4,86
geneComp_00035769,THOC5,THOC5,Control,FRDA,5.113310261135346e-4,87
geneComp_00029054,PCDHGC3,PCDHGC3,Control,FRDA,5.938871926228645e-4,88
geneComp_00027701,NEDD4,NEDD4,Control,FRDA,5.9712212633248e-4,89
geneComp_00033120,SDC1,SDC1,Control,FRDA,6.119506300110112e-4,90
geneComp_00021908,GSPT1,GSPT1,Control,FRDA,6.371619675563933e-4,91
geneComp_00026105,MAP4,MAP4,Control,FRDA,6.371619675563933e-4,92
geneComp_00034088,SMAP1,SMAP1,Control,FRDA,6.827642177060123e-4,93
geneComp_00029725,PLEKHG4B,PLEKHG4B,Control,FRDA,7.171818910616191e-4,94
geneComp_00031358,RGS9,RGS9,Control,FRDA,7.532205826454604e-4,95
